time,mag,magerr,filter,telescope,upperlimit
0.014985,18.68,0.42,B,RTT150,0
0.017565,18.81,0.25,B,RTT150,0
0.014464,17.98,0.21,V,RTT150,0
0.015494,18.76,0.5,V,RTT150,0
0.164653,20.01,0.07,V,SMARTS,0
0.248148,20.55,0.06,V,SMARTS,0
4.210961,22.1,,V,SMARTS,1
0.005994,16.79,0.15,R,RTT150,0
0.006803,16.9,0.03,R,RTT150,0
0.007602,17.03,0.03,R,RTT150,0
0.008413,17.08,0.04,R,RTT150,0
0.009223,17.25,0.05,R,RTT150,0
0.010033,17.34,0.06,R,RTT150,0
0.010831,17.47,0.09,R,RTT150,0
0.011642,17.57,0.09,R,RTT150,0
0.01244,17.66,0.11,R,RTT150,0
0.013378,17.63,0.13,R,RTT150,0
0.016015,18.12,0.33,R,RTT150,0
0.894104,21.63,0.18,R,Maidanak,0
1.888104,22.4,0.3,R,Maidanak,0
0.164653,18.82,0.05,I,SMARTS,0
0.248148,19.45,0.05,I,SMARTS,0
4.210961,21.7,,I,SMARTS,1
